Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA	pH	Tafel	Current_density	Overpotential
0	1	0	0	0	54.5	14	77	100	388
0	1	0	0	0	54.5	14	77	50	354
0	1	0	0	0	54.5	14	77	20	318
0	1	0	0	0	54.5	14	77	10	294
0	1	1	0	0	38.7	14	86	100	584
0	1	1	0	0	38.7	14	86	50	545
0	1	1	0	0	38.7	14	86	20	504
0	1	1	0	0	38.7	14	86	10	476
0	0	1	0	0	170.46	13	79	10	422
0	1	1	0	0	86	13	85	10	354
1	1	1	1	1	141.3	0.3	49	100	263
1	1	1	1	1	141.3	0.3	49	50	234
1	1	1	1	1	141.3	0.3	49	20	207
1	1	1	1	1	141.3	0.3	49	10	189
1	1	0	0	0	50.7	0.3	96.9	100	375
1	1	0	0	0	50.7	0.3	96.9	50	310
1	1	0	0	0	50.7	0.3	96.9	20	257
1	1	0	0	0	50.7	0.3	96.9	10	226
0	1	1	1	0	23.3	14	65.8	100	374
0	1	1	1	0	23.3	14	65.8	50	284
0	1	1	1	0	23.3	14	65.8	20	215
0	1	1	1	0	23.3	14	65.8	10	180
0	1	1	0	1	31.5	14	114.59	100	407
0	1	1	0	1	31.5	14	114.59	50	358
0	1	1	0	1	31.5	14	114.59	20	313
0	1	1	0	1	31.5	14	114.59	10	267
0	1	1	1	0	67	14	63	100	386
0	1	1	1	0	67	14	63	50	332
0	1	1	1	0	67	14	63	20	290
0	1	1	1	0	67	14	63	10	261
0	1	0	0	1	78.78	14	109	100	483
0	1	0	0	1	78.78	14	109	50	408
0	1	0	0	1	78.78	14	109	20	352
0	1	0	0	1	78.78	14	109	10	321
0	1	1	1	0	155.8321	14	59.62	20	331
0	1	1	1	0	155.8321	14	59.62	10	300
0	1	1	1	0	155.83	14	59.62	20	331
0	1	1	1	0	155.83	14	59.62	10	300
0	1	1	1	1	233.9	14	29.3	100	250
0	1	1	1	1	233.9	14	29.3	50	239
0	1	1	1	1	233.9	14	29.3	20	226
0	1	1	1	1	233.9	14	29.3	10	218
0	1	0	1	0	7.423	14	97	100	387
0	1	0	1	0	7.423	14	97	50	330
0	1	0	1	0	7.423	14	97	20	286
0	1	0	1	0	7.423	14	97	10	263
0	0	0	0	0	37.17	14	178.1	100	535
0	0	0	0	0	37.17	14	178.1	50	475
0	0	0	0	0	37.17	14	178.1	20	343
0	0	0	0	0	37.17	14	178.1	10	285
0	1	1	1	1	51.5	14	64.33	100	213
0	1	1	1	1	51.5	14	64.33	50	204
0	1	1	1	1	51.5	14	64.33	20	175
0	1	1	0	1	131	14	90	100	342
0	1	1	0	1	131	14	90	50	321
0	1	1	0	1	131	14	90	20	279
0	1	1	0	1	131	14	90	10	217
0	0	0	0	0	75.02	14	33	50	290
0	0	0	0	0	75.02	14	33	20	249
0	0	0	0	0	75.02	14	33	10	230
0	1	1	0	0	119	13	68	10	254
0	1	1	0	0	39	14	88	100	426
0	1	1	0	0	39	14	88	50	384
0	1	1	0	0	39	14	88	20	347
0	1	1	0	0	39	14	88	10	320
0	1	1	1	0	60.4	14	56	100	333
0	1	1	1	0	60.4	14	56	50	309
0	1	1	1	0	60.4	14	56	20	287
0	1	1	1	0	60.4	14	56	10	270
0	1	0	1	1	113.4	14	32	50	246
0	1	0	1	1	113.4	14	32	20	226
0	1	0	1	1	113.4	14	32	10	213
0	1	0	1	1	50	13	34	20	353
0	1	0	1	1	50	13	34	10	340
0	1	1	1	0	232.1	14	36	100	348
0	1	1	1	0	232.1	14	36	50	335
0	1	1	1	0	232.1	14	36	20	317
0	1	1	1	0	232.1	14	36	10	307
0	1	1	0	0	122.8	14	65	10	359
0	1	1	1	0	162.2	14	63	100	338
0	1	1	1	0	162.2	14	63	50	283
0	1	1	1	0	162.2	14	63	20	239
0	1	1	1	0	162.2	14	63	10	208
0	1	1	0	0	249	14	86.4	100	512
0	1	1	0	0	249	14	86.4	50	409
0	1	1	0	0	249	14	86.4	20	327
0	1	1	0	0	249	14	86.4	10	288
0	1	1	1	1	137	14	53.3	100	249
0	1	1	1	1	137	14	53.3	50	232
0	1	1	1	1	137	14	53.3	20	211
0	1	1	1	1	137	14	53.3	10	195
0	0	1	0	0	181.9	14	50.1	100	333
0	0	1	0	0	181.9	14	50.1	50	286
0	0	1	0	0	181.9	14	50.1	20	235
0	0	1	0	0	181.9	14	50.1	10	208
0	1	1	0	1	119.76	13	86	100	484
0	1	1	0	1	119.76	13	86	50	413
0	1	1	0	1	119.76	13	86	20	348
0	1	1	0	1	119.76	13	86	10	300
0	0	0	0	1	36.4	14	141	100	560
0	0	0	0	1	36.4	14	141	50	438
0	0	0	0	1	36.4	14	141	20	345
0	0	0	0	1	36.4	14	141	10	293
0	0	0	0	0	42.8	14	73.6	100	404
0	0	0	0	0	42.8	14	73.6	50	365
0	0	0	0	0	42.8	14	73.6	20	326
0	0	0	0	0	42.8	14	73.6	10	304
0	1	0	0	1	11.5	13	60.1	20	392
0	1	0	0	1	11.5	13	60.1	10	370
0	1	1	0	1	160	13	72.5	10	381
0	1	1	0	0	8.89	14	80.6	100	443
0	1	1	0	0	8.89	14	80.6	50	389
0	1	1	0	0	8.89	14	80.6	20	343
0	1	1	0	0	8.89	14	80.6	10	312
0	1	1	0	0	412	13	56	10	312
0	1	1	0	0	48.1	14	57.03	100	466
0	1	1	0	0	48.1	14	57.03	50	420
0	1	1	0	0	48.1	14	57.03	20	379
0	1	1	0	0	48.1	14	57.03	10	350
0	1	1	0	0	9.5	14	57.5	50	334
0	1	1	0	0	9.5	14	57.5	20	319
0	1	1	0	0	9.5	14	57.5	10	294
0	1	1	0	0	165.5	13	176	10	520
0	1	1	0	1	123	14	42	100	331
0	1	1	0	1	123	14	42	50	293
0	1	1	0	1	123	14	42	20	268
0	1	1	0	1	123	14	42	10	240
1	1	1	1	0	243	14	49.8	100	386
1	1	1	1	0	243	14	49.8	50	316
1	1	1	1	0	243	14	49.8	20	277
1	1	1	1	0	243	14	49.8	10	260
0	1	0	0	0	126	14	38.9	10	360
0	1	1	0	0	254.417	13	69	50	498
0	1	1	0	0	254.417	13	69	20	430
0	1	1	0	0	254.417	13	69	10	390
0	1	1	0	1	76.1	14	58	50	516
0	1	1	0	1	76.1	14	58	20	421
0	1	1	0	1	76.1	14	58	10	382
0	1	1	0	1	312.32	13	191.5	50	681
0	1	1	0	1	312.32	13	191.5	20	495
