DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.3390/nano13162329	CuO/MnO2 	0	1	0	0	0	54.5	1.0 M KOH	14	77	100	388 
10.3390/nano13162329	CuO/MnO2 	0	1	0	0	0	54.5	1.0 M KOH	14	77	50	354 
10.3390/nano13162329	CuO/MnO2 	0	1	0	0	0	54.5	1.0 M KOH	14	77	20	318 
10.3390/nano13162329	CuO/MnO2 	0	1	0	0	0	54.5	1.0 M KOH	14	77	10	294 
10.3390/catal12101122	Ce-CMO-18%	0	1	1	0	0	38.7	1.0 M KOH	14	86	100	584 
10.3390/catal12101122	Ce-CMO-18%	0	1	1	0	0	38.7	1.0 M KOH	14	86	50	545 
10.3390/catal12101122	Ce-CMO-18%	0	1	1	0	0	38.7	1.0 M KOH	14	86	20	504 
10.3390/catal12101122	Ce-CMO-18%	0	1	1	0	0	38.7	1.0 M KOH	14	86	10	476 
10.1149/2.0061611jes	Co3O4/CM150 CNT	0	0	1	0	0	170.46	0.1M KOH	13	79	10	422 
10.1149/2.0031611jes	Sn-Co3O4 	0	1	1	0	0	86	0.1 M KOH	13	85	10	354 
10.1126/sciadv.adf9144	M-RuIrFeCoNiO2	1	1	1	1	1	141.3	0.5 M H2SO4	0.3	49	100	263 
10.1126/sciadv.adf9144	M-RuIrFeCoNiO2	1	1	1	1	1	141.3	0.5 M H2SO4	0.3	49	50	234 
10.1126/sciadv.adf9144	M-RuIrFeCoNiO2	1	1	1	1	1	141.3	0.5 M H2SO4	0.3	49	20	207 
10.1126/sciadv.adf9144	M-RuIrFeCoNiO2	1	1	1	1	1	141.3	0.5 M H2SO4	0.3	49	10	189 
10.1039/D3QI01203D	d-TiO2/RuO2	1	1	0	0	0	50.7	0.5 M H2SO4	0.3	96.9	100	375 
10.1039/D3QI01203D	d-TiO2/RuO2	1	1	0	0	0	50.7	0.5 M H2SO4	0.3	96.9	50	310 
10.1039/D3QI01203D	d-TiO2/RuO2	1	1	0	0	0	50.7	0.5 M H2SO4	0.3	96.9	20	257 
